,0,1,2,3,4,5,6,7,8,9,10,11
0,1.8,1.0,-4.440892098500626e-16,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1,1.9999999999999998,0.8055555555555556,4.666666666666667,-3.3306690738754696e-16,0.0,2.055555555555556,0.9999999999999998,-6.661338147750939e-16,5.551115123125783e-17,0.9999999999999992,1.0,1.0555555555555556
2,2.25,0.25,4.5,2.5,0.5,2.75,1.0,0.0,0.0,4.0,0.0,1.0
3,1.3333333333333335,1.0,5.0,0.0,0.0,2.6666666666666665,1.0,3.6666666666666665,1.0000000000000002,0.9999999999999999,1.0,1.0
4,3.0,1.0,0.0,0.08333333333333337,0.0,1.0833333333333337,2.9999999999999996,0.0,-5.551115123125783e-17,1.0833333333333335,0.9166666666666665,1.0
5,1.0,0.0,3.1666666666666665,0.6666666666666666,0.33333333333333337,4.0,1.5,2.5,1.0,2.0,0.0,1.0
6,3.0,0.4,-4.440892098500626e-16,8.0,2.0,4.0,1.0,0.0,0.0,11.0,0.0,1.0
7,3.0,1.0,2.166666666666667,3.833333333333334,1.3333333333333335,3.833333333333333,1.0,0.0,0.0,6.166666666666667,0.0,1.6666666666666665
8,2.999999999999999,0.8500000000000001,3.9250000000000003,-4.440892098500626e-16,0.0,0.9749999999999992,0.9999999999999998,-7.771561172376096e-16,1.6653345369377348e-16,0.9999999999999996,1.0,0.9999999999999999
9,3.0,0.8333333333333334,3.3333333333333335,1.5,0.5,3.0,1.1666666666666667,0.0,0.0,3.0,0.0,1.0
10,1.0,0.5,6.0,0.75,1.125,4.0,1.375,4.500000000000001,1.0,2.875,0.0,1.0
11,2.3333333333333335,0.6666666666666666,1.0,1.1666666666666667,1.0,3.1666666666666665,1.1666666666666667,5.666666666666667,1.1666666666666667,3.166666666666667,0.0,1.6666666666666665
12,2.9,0.9000000000000001,0.049999999999998934,0.0,0.0,2.05,1.1500000000000001,0.0,-5.551115123125783e-17,0.9999999999999999,1.0,1.0
13,3.0,0.2,0.6000000000000001,0.4,0.6000000000000001,2.0,1.8,0.0,0.0,2.0,0.0,1.2
14,1.0,0.0,5.2,0.0,0.0,3.8,1.8,0.0,0.0,1.0,1.0,1.0
15,2.6875,0.31250000000000006,5.125,1.0,0.0,2.875,1.0,0.0,-5.551115123125783e-17,2.0,0.0,1.0
16,1.0,1.0,0.0,0.0,0.0,3.5,1.1666666666666667,3.0,1.6666666666666667,1.0,1.0,1.0
17,1.0,0.3333333333333333,4.0,3.0,2.0,4.0,1.0,3.0,1.0000000000000002,6.0,0.0,1.0
18,3.0,0.0,6.0,0.6666666666666666,5.333333333333333,4.0,1.0,0.0,0.0,7.0,0.0,1.0
19,3.0,0.9411764705882353,6.0588235294117645,0.0,0.0,1.0000000000000004,1.1176470588235294,0.0,-5.551115123125783e-17,1.0,1.0,1.0
20,1.0,0.4,6.2,0.0,0.0,3.0,1.2,3.2,1.5999999999999999,1.0,1.0,1.0
21,2.75,0.0,1.0,1.75,1.25,3.25,2.0,0.0,0.0,4.0,0.0,1.0
22,1.0000000000000002,0.42857142857142855,6.0,0.0,0.0,3.8571428571428568,1.8571428571428572,2.285714285714286,1.4285714285714284,1.0,1.0,1.0
23,2.25,0.25,6.0,1.0,2.5,3.5,1.0,0.0,0.0,4.5,0.0,1.0
24,2.5,0.09999999999999998,1.0,0.5,1.6,3.0,1.2,0.0,-5.551115123125783e-17,3.1000000000000005,0.0,1.0
25,2.25,0.125,5.0,0.0,0.125,2.0,1.0,5.375000000000001,1.5,1.125,0.875,1.0
26,0.9999999999999998,0.5833333333333334,5.75,1.1666666666666667,0.0,4.0,1.3333333333333333,3.0000000000000004,1.9166666666666667,2.166666666666667,0.0,1.0833333333333333
27,2.875,0.0,3.375,0.0,0.0,1.75,1.125,0.0,0.0,1.0,1.0,1.0
28,3.0,1.0,5.0,1.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,2.0,0.0,1.0
29,1.0,0.2,4.0,0.2,2.0,3.8,1.4,3.0,1.0,3.2,0.0,1.0
30,1.111111111111111,0.7777777777777778,-4.440892098500626e-16,0.0,0.0,3.5555555555555554,1.888888888888889,0.0,0.0,1.0,1.0,1.1111111111111112
31,3.0,1.0,4.416666666666667,0.0,0.0,1.0000000000000002,2.333333333333333,0.0,-5.551115123125783e-17,1.0,1.0,1.0
32,2.2,0.0,4.2,0.0,1.8,2.4,1.0,0.0,0.0,2.8,0.0,1.0
33,2.375,0.5,6.0,0.625,1.125,3.25,1.0,0.0,0.0,2.75,0.0,1.0
34,2.3333333333333335,1.0,1.0,0.6666666666666666,1.4166666666666667,3.1666666666666665,1.25,0.08333333333333326,0.08333333333333334,3.0833333333333335,0.0,2.0
35,0.9999999999999998,0.3636363636363637,6.0,1.0,0.0,4.0,1.4545454545454546,4.363636363636365,1.0,2.0,0.0,1.0
36,1.0,1.0,6.0,0.25,0.0,3.5,1.5,1.0,0.75,1.25,0.75,2.75
37,1.0,1.0,5.75,0.0,0.0,0.25,1.0,1.25,1.0,1.0,1.0,1.25
38,3.0,1.0,1.6666666666666665,4.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,2.0
39,1.0,0.0,0.0,1.0,0.0,4.0,1.5,3.0,1.75,2.0,0.0,1.0
40,1.0,0.2,4.0,0.0,0.0,3.8,1.8,2.4,1.4,1.0,1.0,1.0
41,3.0,0.2,1.4,4.000000000000001,2.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2
42,2.0,0.2,5.9,0.0,0.0,2.4,1.0,0.0,-5.551115123125783e-17,1.0,1.0,1.0
43,1.0,0.75,5.875,0.25000000000000006,1.125,3.875,1.625,2.625,1.5,2.375,0.0,1.0
44,2.0,1.0,5.230769230769231,0.9230769230769231,0.07692307692307693,3.076923076923077,1.2307692307692308,0.0,-5.551115123125783e-17,2.0,0.0,1.1538461538461537
45,3.0,0.8,6.1,0.0,0.10000000000000003,2.1,1.0,0.0,-5.551115123125783e-17,1.1,0.8999999999999999,1.0
46,3.0,1.0,3.0,1.0,1.0,1.0,1.6666666666666667,0.0,0.0,3.0,0.0,1.0
47,3.0,0.75,2.25,5.0,2.0,4.0,1.0,0.0,0.0,8.0,0.0,1.5
48,3.0,0.9375,5.0,0.0,0.0,2.0,1.0625,0.0,-5.551115123125783e-17,1.0,1.0,1.0
49,1.0000000000000002,1.0,5.428571428571429,0.0,0.0,3.2857142857142856,1.2857142857142858,0.0,0.0,1.0,1.0,1.1428571428571428
50,2.75,1.0,6.5,0.0,0.0,1.25,3.0,0.0,0.0,1.0,1.0,1.25
51,3.0,0.0,1.5,3.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0
52,1.0,1.0,7.0,1.0,4.0,4.0,1.0,3.0,1.0,6.0,0.0,1.0
53,2.9999999999999996,-2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0,1.055555555555556,2.8888888888888884,0.0,-5.551115123125783e-17,1.0,1.0,1.0
54,2.9999999999999996,0.9500000000000001,-8.881784197001252e-16,0.0,0.0,1.0000000000000004,1.0,0.0,-5.551115123125783e-17,0.9999999999999999,1.0,1.0
55,2.0,1.0,4.4,1.6,0.4,4.0,1.2,0.0,0.0,3.0,0.0,1.0
56,2.0,1.0,6.142857142857142,0.0,0.0,2.0,1.0714285714285714,0.0,-5.551115123125783e-17,1.0,1.0,1.2142857142857142
57,2.9999999999999996,0.8400000000000001,5.0,0.0,0.0,1.0000000000000002,1.0,-2.220446049250313e-16,-1.1102230246251565e-16,0.9999999999999996,1.0,1.0
58,3.0,0.4285714285714286,0.0,1.2857142857142858,0.0,3.0,3.0,0.0,0.0,2.2857142857142856,0.0,1.0
59,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0
60,3.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,-5.551115123125783e-17,1.0,1.0,1.0
61,3.0,0.3333333333333333,5.333333333333333,0.6666666666666666,1.3333333333333335,3.0,2.6666666666666665,0.0,0.0,3.0,0.0,1.0
62,1.0,0.3333333333333333,3.6666666666666665,0.0,1.3333333333333335,4.0,1.0,4.666666666666667,1.0000000000000002,2.3333333333333335,0.0,1.0
63,1.0000000000000002,0.28571428571428575,5.0,0.0,0.0,4.0,1.0,1.8571428571428572,1.4285714285714284,1.0,1.0,1.1428571428571428
64,3.0,0.0,1.0,0.5,1.0,2.5,1.0,7.0,1.0,2.5,0.0,1.0
65,1.0,0.25,6.25,0.75,1.5,4.0,1.0,2.0,1.25,3.25,0.0,1.5
66,3.0,0.0,3.2857142857142856,0.0,0.0,0.9999999999999998,2.7142857142857144,0.0,0.0,1.0,1.0,1.0
67,3.0,0.0,4.0,0.0,2.0,3.0,1.0,7.0,1.0,3.0,0.0,1.0
68,2.5,0.30000000000000004,4.9,1.0,1.1,3.1,1.0,0.0,-5.551115123125783e-17,3.1,0.0,1.0
69,2.25,0.25,4.0,0.75,2.25,3.75,1.75,0.0,0.0,4.0,0.0,1.0
70,2.75,0.0,3.0,0.625,0.375,2.375,1.625,0.0,0.0,2.0,0.0,1.0
71,1.0,1.0,0.0,0.0,0.0,3.666666666666667,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,1.0
72,2.7272727272727275,1.0,2.909090909090909,0.0,0.0,2.090909090909091,1.090909090909091,0.0,-5.551115123125783e-17,1.0,1.0,1.0
73,1.0,1.0,6.0,0.0,0.0,3.4,2.0,1.4000000000000001,1.0,1.0,1.0,1.2
74,3.0,0.33333333333333337,0.6666666666666665,3.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,1.3333333333333333
75,1.0,0.25,3.0,1.5,2.0,4.0,1.5,2.0,1.5,4.5,0.0,1.25
76,1.0,0.0,5.333333333333333,0.0,0.0,4.0,2.0,4.666666666666667,1.0000000000000002,0.9999999999999999,1.0,1.0
77,1.0,1.0,6.0,0.0,0.0,3.2222222222222223,1.0,5.000000000000001,1.0,1.0,1.0,1.0
78,1.0,1.0,5.0,1.0,0.0,4.0,1.0,2.3333333333333335,1.0000000000000002,2.0,0.0,1.0
79,3.0,1.0,5.5,2.0,0.0,1.5,1.0,0.0,0.0,3.0,0.0,1.0
80,1.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,1.0,2.0,0.0,1.0
81,3.0,0.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0
82,1.0,0.4,4.4,1.0,0.0,4.0,2.0,4.000000000000001,1.2,2.0,0.0,1.0
83,2.6666666666666665,0.6666666666666666,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.9999999999999999,1.0,1.0
84,1.0,0.75,3.75,0.75,0.25,4.0,2.0,2.25,1.0,2.0,0.0,1.0
85,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0
86,1.6666666666666665,1.0,3.6666666666666665,0.0,0.0,4.0,1.3333333333333333,0.0,0.0,0.9999999999999999,1.0,1.0
87,3.0,1.0,5.0,0.0,0.0,3.4,1.2,0.0,0.0,1.0,1.0,1.0
88,3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0
89,3.0,1.0,4.666666666666667,0.0,0.0,1.0,1.0,6.999999999999999,1.0000000000000002,0.9999999999999999,1.0,1.0
90,3.0,0.6,3.8,1.0,0.0,1.2000000000000002,1.0,0.0,-5.551115123125783e-17,2.0,0.0,1.0
91,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0
92,3.0,0.6,-4.440892098500626e-16,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0
93,3.0,0.5,3.5,1.5,2.5,4.0,1.0,0.0,0.0,5.0,0.0,1.0
94,2.0,0.25,4.25,0.0,0.0,2.5,2.0,0.0,0.0,1.0,1.0,1.0
