,Mean Reward,Mean dQ,Max V,Mean V,Optimal policy reward
0,0.01,0.01,1.0,0.015625,0.0
1,0.008,0.01339218663370623,1.0,0.044207527325181885,0.276
2,0.015,0.015531949656667375,1.0,0.14009799015661367,0.995
3,0.018,0.022232522586866078,1.0,0.2531425641889742,0.995
4,0.016,0.017584405366328278,1.0,0.3423561556880384,0.896
