,vi,pi,ql
0,49.72371031157011,49.72372931083578,0.99
1,50.226472941924186,50.22649199667998,1.0
2,50.226472941924186,50.22649199667998,1.0
3,50.226472941924186,50.22649199667998,1.0
4,50.226472941924186,50.22649199667998,1.0
5,50.226472941924186,50.22649199667998,1.0
6,50.226472941924186,50.22649199667998,1.0
7,50.226472941924186,50.22649199667998,1.0
8,50.226472941924186,50.22649199667998,1.0
9,50.226472941924186,50.22649199667998,1.0
10,50.226472941924186,50.22649199667998,1.0
11,50.226472941924186,50.22649199667998,1.0
12,50.226472941924186,50.22649199667998,1.0
13,50.226472941924186,50.22649199667998,1.0
14,50.226472941924186,50.22649199667998,1.0
15,50.226472941924186,50.22649199667998,1.0
16,50.226472941924186,50.22649199667998,1.0
17,50.226472941924186,50.22649199667998,1.0
18,50.226472941924186,50.22649199667998,1.0
19,50.226472941924186,50.22649199667998,1.0
20,50.226472941924186,50.22649199667998,1.0
21,50.226472941924186,50.22649199667998,1.0
22,50.226472941924186,50.22649199667998,1.0
23,50.226472941924186,50.22649199667998,1.0
24,50.226472941924186,50.22649199667998,1.0
25,50.226472941924186,50.22649199667998,1.0
26,50.226472941924186,50.22649199667998,1.0
27,50.226472941924186,50.22649199667998,1.0
28,50.226472941924186,50.22649199667998,1.0
29,50.226472941924186,50.22649199667998,1.0
30,50.226472941924186,50.22649199667998,1.0
31,50.226472941924186,50.22649199667998,1.0
32,50.226472941924186,50.22649199667998,1.0
33,50.226472941924186,50.22649199667998,1.0
34,50.226472941924186,50.22649199667998,1.0
35,50.226472941924186,50.22649199667998,1.0
36,50.226472941924186,50.22649199667998,1.0
37,50.226472941924186,50.22649199667998,1.0
38,50.226472941924186,50.22649199667998,1.0
39,50.226472941924186,50.22649199667998,1.0
40,50.226472941924186,50.22649199667998,1.0
41,50.226472941924186,50.22649199667998,1.0
42,50.226472941924186,50.22649199667998,1.0
43,50.226472941924186,50.22649199667998,1.0
44,50.226472941924186,50.22649199667998,1.0
45,50.226472941924186,50.22649199667998,1.0
46,50.226472941924186,50.22649199667998,1.0
47,50.226472941924186,50.22649199667998,1.0
48,50.226472941924186,50.22649199667998,1.0
49,50.226472941924186,50.22649199667998,1.0
50,50.226472941924186,50.22649199667998,1.0
51,50.226472941924186,50.22649199667998,1.0
52,50.226472941924186,50.22649199667998,1.0
53,50.226472941924186,50.22649199667998,1.0
54,50.226472941924186,50.22649199667998,1.0
55,50.226472941924186,50.22649199667998,1.0
56,50.226472941924186,50.22649199667998,1.0
57,50.226472941924186,50.22649199667998,1.0
58,50.226472941924186,50.22649199667998,1.0
59,50.226472941924186,50.22649199667998,1.0
60,50.226472941924186,50.22649199667998,1.0
61,50.226472941924186,50.22649199667998,1.0
62,50.226472941924186,50.22649199667998,1.0
63,50.226472941924186,50.22649199667998,1.0
64,50.226472941924186,50.22649199667998,1.0
65,50.226472941924186,50.22649199667998,1.0
66,50.226472941924186,50.22649199667998,1.0
67,50.226472941924186,50.22649199667998,1.0
68,50.226472941924186,50.22649199667998,1.0
69,50.226472941924186,50.22649199667998,1.0
70,50.226472941924186,50.22649199667998,1.0
71,50.226472941924186,50.22649199667998,1.0
