,Iteration to converge,Max V,Mean V,Optimal policy reward
0,4,0.34518518518518515,0.011174768518518518,0.0
1,4,0.36665702160493824,0.012658138824588477,0.0
2,9,0.6305036785201981,0.056461451218301574,0.761
3,10,0.877767135561554,0.33699821527575413,0.91
