,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
22,128,1550.0,19.0465567560002,"[16. 10.  1. 12. 14. 14. 17. 12. 16. 11. 12.  0. 15. 17. 17. 11. 11. 17.
 10. 14. 18. 19. 16.  2. 13. 16. 13. 16. 15. 15. 12.  3. 14. 18. 11.]",100,0.5,True,4096,100,0.5
23,256,1550.0,39.42788228500012,"[16. 10.  1. 12. 14. 14. 17. 12. 16. 11. 12.  0. 15. 17. 17. 11. 11. 17.
 10. 14. 18. 19. 16.  2. 13. 16. 13. 16. 15. 15. 12.  3. 14. 18. 11.]",100,0.5,True,4096,100,0.5
24,512,1550.0,83.25514449800016,"[16. 10.  1. 12. 14. 14. 17. 12. 16. 11. 12.  0. 15. 17. 17. 11. 11. 17.
 10. 14. 18. 19. 16.  2. 13. 16. 13. 16. 15. 15. 12.  3. 14. 18. 11.]",100,0.5,True,4096,100,0.5
25,1024,1550.0,166.49266952100015,"[16. 10.  1. 12. 14. 14. 17. 12. 16. 11. 12.  0. 15. 17. 17. 11. 11. 17.
 10. 14. 18. 19. 16.  2. 13. 16. 13. 16. 15. 15. 12.  3. 14. 18. 11.]",100,0.5,True,4096,100,0.5
26,2048,1550.0,167.8551337440001,"[16. 10.  1. 12. 14. 14. 17. 12. 16. 11. 12.  0. 15. 17. 17. 11. 11. 17.
 10. 14. 18. 19. 16.  2. 13. 16. 13. 16. 15. 15. 12.  3. 14. 18. 11.]",100,0.5,True,4096,100,0.5
27,4096,1550.0,167.8551337440001,"[16. 10.  1. 12. 14. 14. 17. 12. 16. 11. 12.  0. 15. 17. 17. 11. 11. 17.
 10. 14. 18. 19. 16.  2. 13. 16. 13. 16. 15. 15. 12.  3. 14. 18. 11.]",100,0.5,True,4096,100,0.5
28,0,1064.0,0.0181115759999102,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",300,0.25,True,4096,300,0.25
29,1,1486.0,0.24521121699990545,"[ 1.  7. 10.  7. 18. 19. 17. 17. 11.  3. 12. 19. 14. 17.  0. 19. 15.  9.
  9. 13. 13. 18. 18. 15. 15. 14. 13.  0.  8. 14. 12. 11. 14. 12. 15.]",300,0.25,True,4096,300,0.25
30,2,1528.0,0.5011475929998142,"[ 1. 12.  1. 16. 18. 18. 16.  8.  8.  6. 15.  0. 16. 19. 16. 17. 15. 19.
 11.  8. 16.  1. 16. 15. 15. 16. 13. 13.  8. 14.  9.  9. 18. 18. 15.]",300,0.25,True,4096,300,0.25
31,4,1578.0,0.8816548779998357,"[ 5.  9.  5. 16. 19. 19. 12. 14. 14.  3. 18.  7. 19. 11. 16. 17. 15. 17.
  9.  0. 14. 15. 16. 15. 17.  9. 13. 16.  1. 12. 14.  9. 18. 16. 18.]",300,0.25,True,4096,300,0.25
