,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
33,512,516.6055292514333,9.273252232000004,[ 7 12  5  9  8 14 20 15 16 21  6 11 10  3  4 13  1 19 18  2 17  0],100,0.6,2048,100,0.6
34,1024,507.81605954706356,18.207407918,[ 0 12  5  9  8 14 20 15 16 21  6 11  3 10  4 13  1 19 18  2 17  7],100,0.6,2048,100,0.6
35,2048,507.81605954706356,33.388385439000004,[ 0 12  5  9  8 14 20 15 16 21  6 11  3 10  4 13  1 19 18  2 17  7],100,0.6,2048,100,0.6
36,0,1211.1046030266018,0.005446230000003993,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,0.8,2048,100,0.8
37,2,879.1141837663064,0.039465223000007654,[21  5  2 13 16  6  4  7 14  9 20  8 18 12 11  0 17 19  1 10 15  3],100,0.8,2048,100,0.8
38,4,856.7001607919244,0.07329228700000101,[ 9 14  8 15 16  4  6 21 20  5 13 19  1 18 10 17 12  0  3 11  7  2],100,0.8,2048,100,0.8
39,8,747.7406304804787,0.1406556790000053,[ 6 13  8 17 20 12 21 11  4 10  0 15  7  3 16  9  5 14 18  2 19  1],100,0.8,2048,100,0.8
40,16,722.8163818100583,0.27483726100000183,[21  6 11  3 16 12  9 20  5 14  8  7 17 18  2 13  4  0 19  1 10 15],100,0.8,2048,100,0.8
41,32,617.3907591630941,0.5415953180000059,[21  6 11  3 16 12 15  9  5 20 14  8  7 17 19  2 18  1  4 13 10  0],100,0.8,2048,100,0.8
42,64,587.8499245475987,1.0754218229999992,[ 7 21  6 11  3 16 12 15  5  9 20 14  8  1 19  2 18 17  4 13 10  0],100,0.8,2048,100,0.8
43,128,497.6866391321494,2.1493378730000074,[ 7 16 21  6 11  3 15 12  5  9 20 14  8 18  2 19  1 13  4 10  0 17],100,0.8,2048,100,0.8
44,256,484.0734697822249,4.30037342,[16 21  6 11  3  7 12 15  5  9 20 14  8 18  2 19  1 13  4 10 17  0],100,0.8,2048,100,0.8
45,512,473.89732014316354,8.648231235000011,[16 21  6 11  3  7  0 12 15  5  9 20 14  8 18  2 17 19  1 13  4 10],100,0.8,2048,100,0.8
46,1024,462.4135693022743,17.57410821100001,[10 16 21  6 11  3  7 17  0 12 15  9  5 20 14  8 18  2 19  1 13  4],100,0.8,2048,100,0.8
47,2048,462.4135693022742,35.449477259000005,[ 4 10 16 21  6 11  3  7 17  0 12 15  9  5 20 14  8 18  2 19  1 13],100,0.8,2048,100,0.8
48,0,1211.1046030266018,0.005714757000021109,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,1.0,2048,100,1.0
49,2,879.1141837663064,0.041083999000022686,[21  5  2 13 16  6  4  7 14  9 20  8 18 12 11  0 17 19  1 10 15  3],100,1.0,2048,100,1.0
50,4,848.9238583990494,0.07625480400000129,[21  5  2 13 16  6  4  7 14  9 20  8 18  3 10 15 12  1 19 17  0 11],100,1.0,2048,100,1.0
51,8,840.5161080498499,0.1472335550000139,[17 16  2  8 18 14 20  5 12  6  4 11 15  0 10  1  7  3 21  9 19 13],100,1.0,2048,100,1.0
52,16,746.1116762314223,0.28543596299999763,[17 19 15 16 21  0  2  8 18 14 20  5 12  6  4 11 13  3 10  9  7  1],100,1.0,2048,100,1.0
53,32,660.1692524805853,0.5606413940000152,[17 19 15 16 21  0  2  8 18 14  9 20  5 12  6 11  4 13  1  7 10  3],100,1.0,2048,100,1.0
