,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
22,256,1414.0,0.049667566000152874,"[15  1  7 19 12 16 13 11 12  9  9  0 10 16  8 12 13 10 17 18 18 12 19 15
  2  9 15  8 11 17  9 13  5 12 19]",10,2048,10,geometric,10,0.99,0.001,9.99500948848144
23,512,1416.0,0.0852084890000242,"[15  1  7 19 12 16 13 12 12  9  9  0 10 16  8 12 13 10 17 18 18 12 19 15
  2  9 15  8 11 17  9 13  5 12 19]",10,2048,10,geometric,10,0.99,0.001,9.991439926514845
24,1024,1416.0,0.1629731980001452,"[15  1  7 19 12 16 13 12 12  9  9  0 10 16  8 12 13 10 17 18 18 12 19 15
  2  9 15  8 11 17  9 13  5 12 19]",10,2048,10,geometric,10,0.99,0.001,9.983634053090412
25,2048,1416.0,0.1629731980001452,"[15  1  7 19 12 16 13 12 12  9  9  0 10 16  8 12 13 10 17 18 18 12 19 15
  2  9 15  8 11 17  9 13  5 12 19]",10,2048,10,geometric,10,0.99,0.001,9.983634053090412
26,0,1064.0,0.00010748699992291222,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",50,2048,50,geometric,50,0.99,0.001,49.99994598600672
27,1,1060.0,0.0004738459999771294,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",50,2048,50,geometric,50,0.99,0.001,49.99976188499486
28,2,1090.0,0.000831999999945765,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",50,2048,50,geometric,50,0.99,0.001,49.999581907776545
29,4,1124.0,0.00132360499992501,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",50,2048,50,geometric,50,0.99,0.001,49.99933487068468
30,8,1104.0,0.0020766809998349345,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",50,2048,50,geometric,50,0.99,0.001,49.998956443814805
31,16,1159.0,0.0032803459998831386,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3 19 16  5 16 11
  2  9 14  6  8 11  9 13  5  5 19]",50,2048,50,geometric,50,0.99,0.001,49.99835159822216
32,32,1248.0,0.00539279899999201,"[ 7  0  3 19 12 16 13 14 12  4  7  6 10 16  7 12 13 10  3 19 16  5 16 14
  2  9 14  8 16  6  9 13  5  5 19]",50,2048,50,geometric,50,0.99,0.001,49.99729010138114
33,64,1286.0,0.009437967999929242,"[13 15  3  7 12 11 13  9 12  4  7  7 10  9 16 12 17 10  9 19 16 12 16 14
  2 12 14  8 12  6 15 13  1 19 19]",50,2048,50,geometric,50,0.99,0.001,49.99525748751977
34,128,1418.0,0.017406359000005978,"[13 15  8  7 14 16 13 11 12  9  9  1 17 13  4 10  7 10  9 19 17 19 18 17
 17 12 18  8 16  4 15 17  1 15 12]",50,2048,50,geometric,50,0.99,0.001,49.99125377735649
35,256,1480.0,0.033138068999960524,"[12 14  5  7 12 16 18 11 12 12 14  0 17 13  6  8  6 11 10 18 17 17 19 15
 18 12 18 12 16  4 17 19  8 15 12]",50,2048,50,geometric,50,0.99,0.001,49.983350336579164
36,512,1513.0,0.06950558999983514,"[12 14  6  7 12 16 18 11 12 12 14  0 17 13 12  8  2 11 10 17 17 17 19 15
 18 12 19 12 16 10 15 19 13 15 12]",50,2048,50,geometric,50,0.99,0.001,49.965084470460674
37,1024,1513.0,0.14338300199983678,"[12 14  6  7 12 16 18 11 12 12 14  0 17 13 12  8  2 11 10 17 17 17 19 15
 18 12 19 12 16 10 15 19 13 15 12]",50,2048,50,geometric,50,0.99,0.001,49.92799952421725
38,2048,1513.0,0.14338300199983678,"[12 14  6  7 12 16 18 11 12 12 14  0 17 13 12  8  2 11 10 17 17 17 19 15
 18 12 19 12 16 10 15 19 13 15 12]",50,2048,50,geometric,50,0.99,0.001,49.92799952421725
39,0,1064.0,0.0001056610001342051,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",100,2048,100,geometric,100,0.99,0.001,99.99989380720258
40,1,1060.0,0.00046058700013418274,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",100,2048,100,geometric,100,0.99,0.001,99.99953709566729
41,2,1090.0,0.003951795000148195,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9 13  3  8 19]",100,2048,100,geometric,100,0.99,0.001,99.99602839217286
42,4,1124.0,0.004576163000137967,"[15  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  3  8 19]",100,2048,100,geometric,100,0.99,0.001,99.9954009082543
