,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
29,32,1687.0,0.4106206959999952,"[ 3  3  6 17 18 15 18 10 19 11 17  1 18  8 15 15 16 16  3 15 17 19 19 18
 17 15 12 13  5 15 13  9 19 18 19]",100,0.6,2048,100,0.6
30,64,1758.0,0.8760145949999938,"[ 0  0  5 18 18 19 19 14 19 11 17  1 19 13 18 18 16 16  3 11 17 19 19  7
 17 15 18 19  5 19 13  9 19 18 19]",100,0.6,2048,100,0.6
31,128,1809.0,1.7411382759999938,"[ 0  0  1 19 17 19 19 14 19  1 19  0 19 19 18 18 16 16  2 18 19 19 19  9
 19  3 17 19  2 19 13 16 19 18 19]",100,0.6,2048,100,0.6
32,256,1828.0,3.491668957999998,"[ 0  0  0 19 18 19 19 16 19  1 19  0 19 19 18 18 19 18  2 15 19 19 19  5
 19  9 18 19  1 19 13 16 19 18 19]",100,0.6,2048,100,0.6
33,512,1830.0,6.8535597109999955,"[ 0  0  0 19 18 19 19 16 19  0 19  0 19 19 18 18 19 18  2 15 19 19 19  4
 19 10 18 19  1 19 14 16 19 18 19]",100,0.6,2048,100,0.6
34,1024,1832.0,13.768675576999996,"[ 0  0  0 19 18 19 19 16 19  0 19  0 19 19 18 19 19 18  2 15 19 19 19  3
 19 10 18 19  1 19 14 16 19 18 19]",100,0.6,2048,100,0.6
35,2048,1832.0,22.099958998999995,"[ 0  0  0 19 18 19 19 16 19  0 19  0 19 19 18 19 19 18  2 15 19 19 19  3
 19 10 18 19  1 19 14 16 19 18 19]",100,0.6,2048,100,0.6
36,0,1064.0,0.005410892999989869,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",100,0.8,2048,100,0.8
37,2,1365.0,0.03086603099998797,"[17 16  5  2  9 18 17 12 11  4 10 18 19 14  1 19 11 16 15 10 16 16 16 18
 17  3 19  2  2 18 13  6  5 13  0]",100,0.8,2048,100,0.8
38,4,1407.0,0.057719776999988426,"[13 12  5  2  9 19 17 12 11  4 10 18 19 14  1 18 11 16 15 10 18 16 16 18
 17  3 19  2  2 18 13 12  5 13  9]",100,0.8,2048,100,0.8
39,8,1509.0,0.11123726399999612,"[12 12  5 14 17 19 19  0  0 10 10  6 19 14 18 18 11 13 15 10 18 16 16  2
 17  4 19 16 15 18  9 12 14 11  8]",100,0.8,2048,100,0.8
40,16,1575.0,0.21843467699999053,"[ 7 14  6 13 18 16 19 17 16  6 17 10 15  5 17 10  5 16  2 14 17 19  6 10
 18 10 19  3 12 15 15 17 18 19 18]",100,0.8,2048,100,0.8
41,32,1662.0,0.43080683999998826,"[ 6 10  5 14 12 19 19  3 16  6 17  0 19 18 11 18 17 16  1 14 18 17 17 10
 17  4 19 16 12 18  3 17 14 18 18]",100,0.8,2048,100,0.8
42,64,1746.0,0.8715527149999929,"[ 1 10  1 18 12 19 19 15 18  4 17  0 19 18 12 18 17 16  1 11 18 19 18 10
 17 16 19 16  4 15 15 17 18 19 18]",100,0.8,2048,100,0.8
43,128,1796.0,1.798023416999996,"[ 1  4  1 18 18 19 19 15 18  4 19  0 19 18 17 18 17 16  1 13 19 19 18  3
 19 16 19 16  4 18  9 19 18 19 18]",100,0.8,2048,100,0.8
44,256,1796.0,3.578854768999989,"[ 1  4  1 18 18 19 19 15 18  4 19  0 19 18 17 18 17 16  1 13 19 19 18  3
 19 16 19 16  4 18  9 19 18 19 18]",100,0.8,2048,100,0.8
45,512,1807.0,7.2351000239999905,"[ 1  3  1 18 18 19 19 15 19  4 19  0 19 18 17 18 19 16  1 13 19 19 19  1
 19 16 19 16  4 18  9 19 18 19 18]",100,0.8,2048,100,0.8
46,1024,1825.0,14.206181113999989,"[ 1  1  0 18 19 19 19 17 19  2 19  0 19 18 17 18 19 19  1 13 19 19 19  1
 19 16 19 16  2 19  9 19 19 19 18]",100,0.8,2048,100,0.8
47,2048,1826.0,28.729803582999992,"[ 1  0  0 18 19 19 19 18 19  2 19  0 19 18 17 18 19 19  1 13 19 19 19  1
 19 16 19 16  2 19  9 19 19 19 18]",100,0.8,2048,100,0.8
48,0,1064.0,0.005164270000008742,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",100,1.0,2048,100,1.0
49,2,1506.0,0.029508313000008002,"[12 10 10 14 16 15 13 19 10  3 12  1 17 13  7 16 14  6  8 14 19 17 16  2
 17  8 10  2 18 18  9 16 18 13  9]",100,1.0,2048,100,1.0
50,4,1506.0,0.05696521600000892,"[12 10 10 14 16 15 13 19 10  3 12  1 17 13  7 16 14  6  8 14 19 17 16  2
 17  8 10  2 18 18  9 16 18 13  9]",100,1.0,2048,100,1.0
51,8,1536.0,0.11283318700000677,"[13 17  3 17  7 19  7 13 18  0 18 10 15  5 17  7 15 16  6 14 17 19 12  5
 17 15 15  7 19 17  9  9 17 16 11]",100,1.0,2048,100,1.0
52,16,1597.0,0.2213156350000105,"[12 13 10 17 18 19 16 12 18  3 18  4 17  8 13 11 15  6  8 14 19 19 16  7
 17 16  0  1 18 17  9  9 19 15 11]",100,1.0,2048,100,1.0
