,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
32,32,965.2409823065916,0.024232059000041772,[ 9 20 10 21  7  6 17  2  0  8 16 12 13 19  1 18  5 14 15  3 11  4],50,2048,50,geometric,50,0.99,0.001,49.98782446610834
33,64,866.2384176132244,0.028722874000095544,[11 21  8  9  7 15  5 17 20 12 16  6 13 19  1 18  2 14 10  3  4  0],50,2048,50,geometric,50,0.99,0.001,49.98556835660522
34,128,868.9383533252028,0.037620404000108465,[15  7 17  2  1  3 12  8 18 14 21 16 11  6  5 20  4 10 19 13  0  9],50,2048,50,geometric,50,0.99,0.001,49.98109868873901
35,256,670.9914305520355,0.05455010600007881,[ 3 16 12  0  5  9 14  8 18  2  7 21 11  6  4 19  1 13 10 17 15 20],50,2048,50,geometric,50,0.99,0.001,49.972595168685906
36,512,579.1611751994492,0.08985388599990074,[ 3  7  0  9  5 20 14  8 18  2 17 21  6 11 10 19  1 13  4 16 15 12],50,2048,50,geometric,50,0.99,0.001,49.95486729527441
37,1024,579.1611751994492,0.17504499500000748,[ 3  7  0  9  5 20 14  8 18  2 17 21  6 11 10 19  1 13  4 16 15 12],50,2048,50,geometric,50,0.99,0.001,49.91211428016516
38,2048,579.1611751994492,0.40503308500001367,[ 3  7  0  9  5 20 14  8 18  2 17 21  6 11 10 19  1 13  4 16 15 12],50,2048,50,geometric,50,0.99,0.001,49.79687778038128
39,0,1211.1046030266018,9.970600012820796e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],100,2048,100,geometric,100,0.99,0.001,99.99989979217142
40,1,1210.120124734893,0.0004271000000244385,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],100,2048,100,geometric,100,0.99,0.001,99.99957075107694
41,2,1210.120124734893,0.011692883000023357,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],100,2048,100,geometric,100,0.99,0.001,99.98824895036533
42,4,1228.1001137540952,0.012213030000111758,[17  5  2 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  3  7 15],100,2048,100,geometric,100,0.99,0.001,99.98772624795758
43,8,1189.8014897992753,0.013024463999954605,[17  5  0 21  7 12 11  2 10  6 18  8 13 20  1  9 16 14 15  3 19  4],100,2048,100,geometric,100,0.99,0.001,99.98691083295509
44,16,1149.4639158697892,0.014598079000052167,[17  5 10 21  7 12 11  2  0  6  9  8 15 16  1 18 13 14 20  3 19  4],100,2048,100,geometric,100,0.99,0.001,99.98532951654404
45,32,915.5363894376178,0.01720204000002923,[ 9 13 10 21  7 15 20 17  0 18  2  8 14  5  1 12 16  6 19  3 11  4],100,2048,100,geometric,100,0.99,0.001,99.98271286646059
46,64,975.8948582723101,0.022139658000014606,[ 5 15 14  9  6 21  0 12 19 16  8  7  4  2 17 20 18  1 13 10 11  3],100,2048,100,geometric,100,0.99,0.001,99.97775137551544
47,128,794.5906974923926,0.031193630999950983,[ 0 21 16  3  6 17  7 12  8  2 18 15 14 20 19  9  5  1 13 10 11  4],100,2048,100,geometric,100,0.99,0.001,99.96865426699779
